City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saint George,US,2021-07-24 15:41:37,37.1041,-113.5841,89.35,51,1,1.01
1,Castro,BR,2021-07-24 15:41:38,-24.7911,-50.0119,70.88,39,0,7.52
2,Barmer,IN,2021-07-24 15:41:38,25.75,71.3833,91.15,53,97,18.16
3,Rikitea,PF,2021-07-24 15:41:38,-23.1203,-134.9692,68.7,55,0,2.98
4,Whangarei,NZ,2021-07-24 15:41:39,-35.7317,174.3239,53.49,94,76,6.38
5,Hambantota,LK,2021-07-24 15:40:20,6.1241,81.1185,79.14,89,75,5.75
6,Hithadhoo,MV,2021-07-24 15:39:28,-0.6,73.0833,82.72,77,66,12.17
7,Hami,CN,2021-07-24 15:40:39,42.8,93.45,92.55,29,31,8.86
8,Pangnirtung,CA,2021-07-24 15:41:39,66.1451,-65.7125,48.2,66,90,6.91
9,Tuktoyaktuk,CA,2021-07-24 15:39:00,69.4541,-133.0374,53.6,71,40,14.97
10,Busselton,AU,2021-07-24 15:38:59,-33.65,115.3333,56.08,74,99,15.43
11,Tura,IN,2021-07-24 15:41:40,25.5198,90.2201,76.28,94,33,5.93
12,Lebu,CL,2021-07-24 15:41:40,-37.6167,-73.65,51.82,74,21,9.22
13,Ushuaia,AR,2021-07-24 15:39:22,-54.8,-68.3,37.06,81,20,5.75
14,San Ramon,US,2021-07-24 15:40:25,37.7799,-121.978,71.64,71,1,1.99
15,Mehamn,NO,2021-07-24 15:41:41,71.0357,27.8492,44.89,86,100,26.04
16,Bethel,US,2021-07-24 15:40:27,41.3712,-73.414,82.02,55,1,1.01
17,Hohhot,CN,2021-07-24 15:41:42,40.8106,111.6522,77.29,61,0,4.47
18,Jamestown,US,2021-07-24 15:39:05,42.097,-79.2353,79.02,58,1,5.01
19,Yerbogachen,RU,2021-07-24 15:41:42,61.2767,108.0108,63.27,72,69,4.09
20,Avera,US,2021-07-24 15:41:05,33.194,-82.5271,87.39,54,0,5.79
21,Hilo,US,2021-07-24 15:38:11,19.7297,-155.09,74.8,94,90,0.0
22,Udala,ES,2021-07-24 15:41:43,43.0778,-2.5125,73.81,69,73,8.75
23,Beyla,GN,2021-07-24 15:41:43,8.6833,-8.6333,75.36,77,100,6.26
24,Santa Maria Da Vitoria,BR,2021-07-24 15:41:44,-13.3947,-44.1886,83.57,32,35,7.81
25,Hermanus,ZA,2021-07-24 15:40:49,-34.4187,19.2345,55.44,58,75,1.21
26,Souillac,MU,2021-07-24 15:39:37,-20.5167,57.5167,70.18,73,20,9.22
27,Mana,GF,2021-07-24 15:41:44,5.6592,-53.7767,87.06,61,81,10.87
28,Thompson,CA,2021-07-24 15:40:41,55.7435,-97.8558,62.76,77,90,11.5
29,Hobart,AU,2021-07-24 15:38:42,-42.8794,147.3294,44.26,85,99,1.99
30,Saskylakh,RU,2021-07-24 15:39:08,71.9167,114.0833,56.12,65,93,5.37
31,West Wendover,US,2021-07-24 15:41:46,40.7391,-114.0733,79.81,19,1,3.44
32,Mataura,NZ,2021-07-24 15:39:04,-46.1927,168.8643,39.47,92,93,4.03
33,Saint-Philippe,RE,2021-07-24 15:34:27,-21.3585,55.7679,71.15,81,60,6.64
34,Qaanaaq,GL,2021-07-24 15:39:03,77.484,-69.3632,40.39,67,75,2.55
35,Yumen,CN,2021-07-24 15:41:46,40.2833,97.2,79.32,44,100,13.11
36,Albany,US,2021-07-24 15:37:20,42.6001,-73.9662,79.81,60,2,1.01
37,Bull Savanna,JM,2021-07-24 15:40:25,17.8868,-77.5902,85.06,55,76,7.54
38,Sisophon,KH,2021-07-24 15:41:47,13.5859,102.9737,74.55,93,100,10.18
39,Cidreira,BR,2021-07-24 15:40:38,-30.1811,-50.2056,70.93,49,0,4.56
40,Kenai,US,2021-07-24 15:37:17,60.5544,-151.2583,55.02,96,90,6.91
41,Goure,NE,2021-07-24 15:41:48,13.9835,10.2704,90.01,52,94,11.3
42,Nova Petropolis,BR,2021-07-24 15:41:48,-29.3764,-51.1144,80.15,32,0,4.25
43,Easton,US,2021-07-24 15:41:48,40.6884,-75.2207,84.22,54,1,1.99
44,Khorixas,NA,2021-07-24 15:41:49,-20.3667,14.9667,75.69,7,0,10.92
45,Avarua,CK,2021-07-24 15:39:47,-21.2078,-159.775,68.05,88,75,3.44
46,Punta Arenas,CL,2021-07-24 15:34:17,-53.15,-70.9167,39.22,81,75,12.66
47,Mar Del Plata,AR,2021-07-24 15:35:35,-38.0023,-57.5575,54.0,64,0,11.99
48,Alibag,IN,2021-07-24 15:41:49,18.6411,72.8792,84.27,86,100,11.99
49,Yellowknife,CA,2021-07-24 15:37:51,62.456,-114.3525,49.32,66,75,1.01
50,Upernavik,GL,2021-07-24 15:39:04,72.7868,-56.1549,39.04,91,99,7.29
51,Saint-Pierre,RE,2021-07-24 15:41:50,-21.3393,55.4781,71.24,71,0,6.91
52,Cape Town,ZA,2021-07-24 15:38:12,-33.9258,18.4232,63.01,71,0,1.01
53,Dolores,AR,2021-07-24 15:41:51,-36.3132,-57.6792,56.23,50,99,14.47
54,Bengkulu,ID,2021-07-24 15:41:51,-3.8004,102.2655,77.45,84,9,6.55
55,Faanui,PF,2021-07-24 15:40:36,-16.4833,-151.75,77.95,66,15,13.98
56,Kodiak,US,2021-07-24 15:39:16,57.79,-152.4072,54.91,94,90,0.0
57,Codrington,AU,2021-07-24 15:41:52,-38.2667,141.9667,42.21,82,99,20.02
58,Bluff,NZ,2021-07-24 15:40:35,-46.6,168.3333,39.79,78,88,11.92
59,Comodoro Rivadavia,AR,2021-07-24 15:41:53,-45.8667,-67.5,49.86,43,0,5.75
60,Cermik,TR,2021-07-24 15:41:53,38.1361,39.4493,95.49,18,0,5.93
61,Dikson,RU,2021-07-24 15:40:31,73.5069,80.5464,37.87,96,100,30.58
62,Turukhansk,RU,2021-07-24 15:40:43,65.8167,87.9833,69.87,68,19,8.99
63,Mahebourg,MU,2021-07-24 15:41:54,-20.4081,57.7,70.09,73,20,9.22
64,Klaksvik,FO,2021-07-24 15:41:54,62.2266,-6.589,54.52,94,81,21.88
65,Tessalit,ML,2021-07-24 15:41:54,20.1986,1.0114,103.03,21,15,20.22
66,Wanning,CN,2021-07-24 15:40:40,18.8003,110.3967,79.48,88,57,8.19
67,Provideniya,RU,2021-07-24 15:41:55,64.3833,-173.3,46.94,98,100,11.12
68,Gushikawa,JP,2021-07-24 15:41:55,26.3544,127.8686,81.99,89,90,13.8
69,Ancud,CL,2021-07-24 15:41:56,-41.8697,-73.8203,46.22,72,100,6.31
70,Baykit,RU,2021-07-24 15:41:56,61.67,96.37,66.9,72,57,2.57
71,Batagay-Alyta,RU,2021-07-24 15:41:56,67.8006,130.4114,56.55,86,100,4.52
72,Kieta,PG,2021-07-24 15:41:57,-6.2167,155.6333,79.09,84,86,2.21
73,Batticaloa,LK,2021-07-24 15:41:57,7.7102,81.6924,84.06,65,100,6.15
74,Victoria,HK,2021-07-24 15:40:34,22.2855,114.1577,87.33,89,88,1.01
75,Marystown,CA,2021-07-24 15:41:58,47.1666,-55.1483,60.53,85,93,12.08
76,Airai,TL,2021-07-24 15:41:58,-8.9266,125.4092,56.61,42,24,3.04
77,Ixtapa,MX,2021-07-24 15:41:58,20.7,-105.2,81.23,89,90,5.75
78,Austin,US,2021-07-24 15:41:30,30.2672,-97.7431,88.36,73,40,4.0
79,Srednekolymsk,RU,2021-07-24 15:41:59,67.45,153.6833,45.97,77,90,10.27
80,Saldanha,ZA,2021-07-24 15:41:59,-33.0117,17.9442,68.05,59,9,7.74
81,Teahupoo,PF,2021-07-24 15:42:00,-17.8333,-149.2667,64.36,67,0,9.44
82,Itajuba,BR,2021-07-24 15:42:00,-22.4256,-45.4528,76.75,40,0,1.01
83,Viedma,AR,2021-07-24 15:42:00,-40.8135,-62.9967,52.83,34,100,12.21
84,Kroya,ID,2021-07-24 15:42:01,-7.6331,109.2461,76.48,81,70,7.47
85,Barrow,US,2021-07-24 15:42:01,71.2906,-156.7887,39.22,93,90,0.0
86,Kapaa,US,2021-07-24 15:40:44,22.0752,-159.319,79.12,83,90,4.0
87,Heze,CN,2021-07-24 15:42:02,35.2431,115.4411,78.58,79,35,6.29
88,Port Elizabeth,ZA,2021-07-24 15:39:05,-33.918,25.5701,59.29,51,0,8.05
89,Roma,US,2021-07-24 15:37:58,43.2128,-75.4557,79.9,63,1,8.05
90,Arroio Grande,BR,2021-07-24 15:42:03,-32.2375,-53.0869,72.57,53,3,2.89
91,Olafsvik,IS,2021-07-24 15:42:03,64.8945,-23.7142,50.58,94,99,11.39
92,Vaini,TO,2021-07-24 15:42:04,-21.2,-175.2,69.96,100,20,1.14
93,Debre Zeyit,ET,2021-07-24 15:42:04,8.75,38.9833,62.01,90,99,6.13
94,Grindavik,IS,2021-07-24 15:40:17,63.8424,-22.4338,53.55,100,75,14.97
95,Tasiilaq,GL,2021-07-24 15:42:04,65.6145,-37.6368,42.96,97,100,2.77
96,Samsun,TR,2021-07-24 15:42:05,41.25,36.3333,79.56,61,40,8.05
97,Songjianghe,CN,2021-07-24 15:42:05,42.1859,127.479,67.89,83,25,3.18
98,Chuy,UY,2021-07-24 15:42:05,-33.6971,-53.4616,66.2,71,54,4.68
99,Ongandjera,NA,2021-07-24 15:42:06,-17.8833,15.0667,72.46,11,0,6.93
100,Itabuna,BR,2021-07-24 15:42:06,-14.7856,-39.2803,79.84,47,98,7.11
101,Vila Do Maio,CV,2021-07-24 15:42:06,15.1333,-23.2167,84.99,71,84,8.41
102,Reconquista,AR,2021-07-24 15:42:07,-29.15,-59.65,83.79,34,42,14.7
103,Manta,EC,2021-07-24 15:42:07,-0.95,-80.7333,73.18,83,90,10.36
104,Aleppo,SY,2021-07-24 15:42:08,36.25,37.5,91.74,29,0,14.67
105,Malakal,SS,2021-07-24 15:42:08,9.5334,31.6605,75.27,92,100,5.28
106,Te Anau,NZ,2021-07-24 15:42:09,-45.4167,167.7167,37.89,89,100,2.73
107,Segezha,RU,2021-07-24 15:42:09,63.7415,34.3222,59.63,51,91,9.55
108,Hasaki,JP,2021-07-24 15:42:09,35.7333,140.8333,75.6,83,0,5.99
109,San Lawrenz,MT,2021-07-24 15:42:10,36.0553,14.204,90.81,65,0,10.09
110,Quelimane,MZ,2021-07-24 15:42:10,-17.8786,36.8883,71.55,60,75,10.36
111,Mabaruma,GY,2021-07-24 15:42:10,8.2,-59.7833,82.89,76,100,4.65
112,Pasni,PK,2021-07-24 15:39:18,25.2631,63.471,82.87,81,98,12.17
113,Valle De Allende,MX,2021-07-24 15:42:11,26.9333,-105.4,76.19,44,96,3.09
114,Baiyin,CN,2021-07-24 15:42:11,36.5583,104.2081,83.28,49,41,5.41
115,Sept-Iles,CA,2021-07-24 15:42:12,50.2001,-66.3821,67.05,80,75,8.01
116,Samarai,PG,2021-07-24 15:42:12,-10.6167,150.6667,79.3,86,85,9.98
117,Hurghada,EG,2021-07-24 15:37:50,27.2574,33.8129,95.04,17,0,14.97
118,Ponta Delgada,PT,2021-07-24 15:42:13,37.7333,-25.6667,74.12,88,20,19.57
119,Narsaq,GL,2021-07-24 15:42:13,60.9167,-46.05,46.62,94,100,5.91
120,Kazanskaya,RU,2021-07-24 15:42:13,45.4106,40.4361,80.01,42,51,3.67
121,Berlevag,NO,2021-07-24 15:42:14,70.8578,29.0864,45.21,86,100,27.94
122,Puerto Ayora,EC,2021-07-24 15:39:07,-0.7393,-90.3518,78.76,78,34,7.0
123,The Pas,CA,2021-07-24 15:42:14,53.8251,-101.2541,68.02,68,1,15.93
124,Tual,ID,2021-07-24 15:42:14,-5.6667,132.75,79.72,79,99,12.46
125,Mgandu,TZ,2021-07-24 15:42:15,-5.95,34.1333,69.4,32,37,7.07
126,Evanston,US,2021-07-24 15:41:30,42.0411,-87.6901,87.22,67,40,5.99
127,Vaitape,PF,2021-07-24 15:42:15,-16.5167,-151.75,77.94,65,12,13.8
128,Norrtalje,SE,2021-07-24 15:42:16,59.758,18.705,79.29,51,61,6.31
129,Nishihara,JP,2021-07-24 15:42:16,26.1842,127.7558,82.06,94,75,21.85
130,Port-Gentil,GA,2021-07-24 15:42:16,-0.7193,8.7815,80.56,65,75,12.66
131,Lompoc,US,2021-07-24 15:39:06,34.6391,-120.4579,64.92,92,90,3.44
132,Bredasdorp,ZA,2021-07-24 15:42:18,-34.5322,20.0403,60.12,59,52,8.05
133,Hastings,GB,2021-07-24 15:42:18,50.8552,0.5729,74.25,76,99,3.0
134,Santa Fe,AR,2021-07-24 15:38:31,-31.6333,-60.7,68.0,57,100,1.99
135,Walvis Bay,NA,2021-07-24 15:42:19,-22.9575,14.5053,85.15,6,2,12.66
136,Bambous Virieux,MU,2021-07-24 15:40:39,-20.3428,57.7575,70.05,73,20,9.22
137,Tarauaca,BR,2021-07-24 15:42:19,-8.1614,-70.7656,92.37,36,30,1.66
138,Namibe,AO,2021-07-24 15:42:20,-15.1961,12.1522,72.23,83,40,11.5
139,Flinders,AU,2021-07-24 15:42:20,-34.5833,150.8552,57.25,64,66,3.0
140,Stokmarknes,NO,2021-07-24 15:42:20,68.5646,14.9108,55.49,98,100,4.32
141,Sayyan,YE,2021-07-24 15:42:21,15.1718,44.3244,68.38,52,84,10.33
142,Iqaluit,CA,2021-07-24 15:40:30,63.7506,-68.5145,49.73,66,75,18.99
143,Sao Felix Do Xingu,BR,2021-07-24 15:41:34,-6.6447,-51.995,94.01,23,94,5.37
144,Mackenzie,CA,2021-07-24 15:42:21,55.2999,-123.1698,57.42,72,1,8.05
145,Takestan,IR,2021-07-24 15:42:21,36.0696,49.6959,95.13,65,3,16.17
146,Qandala,SO,2021-07-24 15:42:22,11.472,49.8728,88.09,58,89,17.83
147,Piacabucu,BR,2021-07-24 15:42:22,-10.4056,-36.4344,78.93,67,36,13.29
148,Kaeo,NZ,2021-07-24 15:42:23,-35.1,173.7833,53.33,89,42,9.84
149,Bay Roberts,CA,2021-07-24 15:42:23,47.5999,-53.2648,69.51,72,52,8.99
150,Dingle,PH,2021-07-24 15:42:23,10.9995,122.6711,77.99,84,98,11.1
151,Kaitangata,NZ,2021-07-24 15:42:24,-46.2817,169.8464,40.93,56,70,4.5
152,Mata,PT,2021-07-24 15:42:24,40.683,-7.4592,76.93,28,46,11.72
153,Chumikan,RU,2021-07-24 15:42:24,54.7183,135.315,54.77,100,100,4.34
154,Esperance,AU,2021-07-24 15:42:25,-33.8667,121.9,51.64,77,14,18.1
155,Lata,PT,2021-07-24 15:42:25,40.1629,-8.3327,80.04,44,4,11.97
156,Bandarbeyla,SO,2021-07-24 15:42:26,9.4942,50.8122,78.58,73,95,31.41
157,Farafangana,MG,2021-07-24 15:42:26,-22.8167,47.8333,67.6,71,100,12.97
158,Burgeo,CA,2021-07-24 15:42:26,47.6167,-57.6152,56.95,92,100,2.44
159,Ambilobe,MG,2021-07-24 15:41:03,-13.2,49.05,70.77,71,92,2.62
160,Half Moon Bay,US,2021-07-24 15:42:27,37.4636,-122.4286,70.61,85,90,0.0
161,Mitu,CO,2021-07-24 15:42:27,1.1983,-70.1733,70.56,100,100,0.27
162,Goundi,TD,2021-07-24 15:42:28,9.3627,17.366,79.86,77,88,2.15
163,Kut Chap,TH,2021-07-24 15:42:28,17.4257,102.5669,76.98,99,100,6.85
164,Beckley,US,2021-07-24 15:42:03,37.7782,-81.1882,80.49,71,1,1.01
165,George Town,MY,2021-07-24 15:40:46,5.4112,100.3354,85.89,79,20,1.01
166,East London,ZA,2021-07-24 15:39:34,-33.0153,27.9116,58.14,72,0,16.11
167,Norman Wells,CA,2021-07-24 15:40:20,65.282,-126.8329,55.44,71,75,11.5
168,Verkhnyaya Inta,RU,2021-07-24 15:42:29,65.9811,60.3094,48.29,97,100,13.2
169,Beloha,MG,2021-07-24 15:39:37,-25.1667,45.05,63.09,58,71,9.51
170,Khatanga,RU,2021-07-24 15:40:30,71.9667,102.5,60.67,88,93,9.04
171,Muscatine,US,2021-07-24 15:42:29,41.4667,-91.1335,87.39,62,1,1.99
172,Faya,SA,2021-07-24 15:42:30,18.3851,42.4509,80.71,54,90,1.25
173,Puerto Suarez,BO,2021-07-24 15:42:30,-18.95,-57.8,88.36,35,0,9.22
174,Kannur,IN,2021-07-24 15:42:30,11.8675,75.3576,77.32,88,79,7.05
175,Carnarvon,AU,2021-07-24 15:42:31,-24.8667,113.6333,62.67,67,40,6.91
176,Ternuvate,UA,2021-07-24 15:42:31,47.8305,36.1276,80.08,51,12,5.1
177,Snezhnogorsk,RU,2021-07-24 15:42:32,69.1933,33.2531,51.58,88,100,21.63
178,Port Alfred,ZA,2021-07-24 15:40:37,-33.5906,26.891,58.57,70,0,21.36
179,Sabang,ID,2021-07-24 15:42:32,5.8933,95.3214,83.93,76,99,16.28
180,Mikhaylovka,RU,2021-07-24 15:42:33,50.06,43.2379,73.99,50,29,9.53
181,La Macarena,CO,2021-07-24 15:42:33,2.1837,-73.7849,79.23,69,100,5.77
182,Butaritari,KI,2021-07-24 15:40:35,3.0707,172.7902,83.37,72,0,15.3
183,Guiuan,PH,2021-07-24 15:42:33,11.0333,125.7247,85.06,73,17,20.09
184,Adrar,MR,2021-07-24 15:42:34,20.5022,-10.0711,107.47,14,16,3.85
185,Leningradskiy,RU,2021-07-24 15:42:34,69.3833,178.4167,36.46,94,99,3.31
186,Taoudenni,ML,2021-07-24 15:42:34,22.6783,-3.9836,113.43,5,5,9.75
187,Yaan,NG,2021-07-24 15:42:35,7.3833,8.5667,80.28,71,64,6.91
188,Rawson,AR,2021-07-24 15:40:49,-43.3002,-65.1023,50.47,34,100,19.33
189,Barra Do Garcas,BR,2021-07-24 15:42:35,-15.89,-52.2567,88.38,30,0,8.05
190,Tiarei,PF,2021-07-24 15:42:36,-17.5333,-149.3333,69.82,70,0,9.28
191,Primorka,RU,2021-07-24 15:42:36,47.2836,39.0625,84.78,46,0,4.54
